year_month,state,abbrev,infected,newly_infected,seed_state,infection_source,beta,random_seed
2024-12,Alabama,AL,0,0,LA,,15000000,3780
2024-12,Arkansas,AR,0,0,LA,,15000000,3780
2024-12,Arizona,AZ,0,0,LA,,15000000,3780
2024-12,California,CA,0,0,LA,,15000000,3780
2024-12,Colorado,CO,1,1,LA,LA,15000000,3780
2024-12,Connecticut,CT,0,0,LA,,15000000,3780
2024-12,Delaware,DE,0,0,LA,,15000000,3780
2024-12,Florida,FL,1,1,LA,LA,15000000,3780
2024-12,Georgia,GA,0,0,LA,,15000000,3780
2024-12,Iowa,IA,0,0,LA,,15000000,3780
2024-12,Idaho,ID,0,0,LA,,15000000,3780
2024-12,Illinois,IL,0,0,LA,,15000000,3780
2024-12,Indiana,IN,0,0,LA,,15000000,3780
2024-12,Kansas,KS,0,0,LA,,15000000,3780
2024-12,Kentucky,KY,0,0,LA,,15000000,3780
2024-12,Louisiana,LA,1,1,LA,seed,15000000,3780
2024-12,Massachusetts,MA,0,0,LA,,15000000,3780
2024-12,Maryland,MD,0,0,LA,,15000000,3780
2024-12,Maine,ME,0,0,LA,,15000000,3780
2024-12,Michigan,MI,0,0,LA,,15000000,3780
2024-12,Minnesota,MN,0,0,LA,,15000000,3780
2024-12,Missouri,MO,0,0,LA,,15000000,3780
2024-12,Mississippi,MS,0,0,LA,,15000000,3780
2024-12,Montana,MT,0,0,LA,,15000000,3780
2024-12,North Carolina,NC,0,0,LA,,15000000,3780
2024-12,North Dakota,ND,0,0,LA,,15000000,3780
2024-12,Nebraska,NE,0,0,LA,,15000000,3780
2024-12,New Hampshire,NH,0,0,LA,,15000000,3780
2024-12,New Jersey,NJ,0,0,LA,,15000000,3780
2024-12,New Mexico,NM,0,0,LA,,15000000,3780
2024-12,Nevada,NV,0,0,LA,,15000000,3780
2024-12,New York,NY,0,0,LA,,15000000,3780
2024-12,Ohio,OH,0,0,LA,,15000000,3780
2024-12,Oklahoma,OK,0,0,LA,,15000000,3780
2024-12,Oregon,OR,0,0,LA,,15000000,3780
2024-12,Pennsylvania,PA,0,0,LA,,15000000,3780
2024-12,Rhode Island,RI,0,0,LA,,15000000,3780
2024-12,South Carolina,SC,0,0,LA,,15000000,3780
2024-12,South Dakota,SD,0,0,LA,,15000000,3780
2024-12,Tennessee,TN,1,1,LA,LA,15000000,3780
2024-12,Texas,TX,1,1,LA,LA,15000000,3780
2024-12,Utah,UT,0,0,LA,,15000000,3780
2024-12,Virginia,VA,0,0,LA,,15000000,3780
2024-12,Vermont,VT,0,0,LA,,15000000,3780
2024-12,Washington,WA,0,0,LA,,15000000,3780
2024-12,Wisconsin,WI,0,0,LA,,15000000,3780
2024-12,West Virginia,WV,0,0,LA,,15000000,3780
2024-12,Wyoming,WY,0,0,LA,,15000000,3780
2025-01,Alabama,AL,0,0,LA,,15000000,3780
2025-01,Arkansas,AR,0,0,LA,,15000000,3780
2025-01,Arizona,AZ,1,1,LA,CO,15000000,3780
2025-01,California,CA,1,1,LA,FL,15000000,3780
2025-01,Colorado,CO,1,0,LA,,15000000,3780
2025-01,Connecticut,CT,0,0,LA,,15000000,3780
2025-01,Delaware,DE,0,0,LA,,15000000,3780
2025-01,Florida,FL,1,0,LA,,15000000,3780
2025-01,Georgia,GA,1,1,LA,FL,15000000,3780
2025-01,Iowa,IA,1,1,LA,TX,15000000,3780
2025-01,Idaho,ID,0,0,LA,,15000000,3780
2025-01,Illinois,IL,1,1,LA,TN,15000000,3780
2025-01,Indiana,IN,0,0,LA,,15000000,3780
2025-01,Kansas,KS,0,0,LA,,15000000,3780
2025-01,Kentucky,KY,0,0,LA,,15000000,3780
2025-01,Louisiana,LA,1,0,LA,,15000000,3780
2025-01,Massachusetts,MA,1,1,LA,FL,15000000,3780
2025-01,Maryland,MD,0,0,LA,,15000000,3780
2025-01,Maine,ME,0,0,LA,,15000000,3780
2025-01,Michigan,MI,1,1,LA,FL,15000000,3780
2025-01,Minnesota,MN,1,1,LA,FL,15000000,3780
2025-01,Missouri,MO,1,1,LA,FL,15000000,3780
2025-01,Mississippi,MS,0,0,LA,,15000000,3780
2025-01,Montana,MT,0,0,LA,,15000000,3780
2025-01,North Carolina,NC,1,1,LA,FL,15000000,3780
2025-01,North Dakota,ND,0,0,LA,,15000000,3780
2025-01,Nebraska,NE,0,0,LA,,15000000,3780
2025-01,New Hampshire,NH,0,0,LA,,15000000,3780
2025-01,New Jersey,NJ,1,1,LA,FL,15000000,3780
2025-01,New Mexico,NM,0,0,LA,,15000000,3780
2025-01,Nevada,NV,1,1,LA,TX,15000000,3780
2025-01,New York,NY,1,1,LA,FL,15000000,3780
2025-01,Ohio,OH,0,0,LA,,15000000,3780
2025-01,Oklahoma,OK,0,0,LA,,15000000,3780
2025-01,Oregon,OR,0,0,LA,,15000000,3780
2025-01,Pennsylvania,PA,0,0,LA,,15000000,3780
2025-01,Rhode Island,RI,0,0,LA,,15000000,3780
2025-01,South Carolina,SC,0,0,LA,,15000000,3780
2025-01,South Dakota,SD,0,0,LA,,15000000,3780
2025-01,Tennessee,TN,1,0,LA,,15000000,3780
2025-01,Texas,TX,1,0,LA,,15000000,3780
2025-01,Utah,UT,1,1,LA,TX,15000000,3780
2025-01,Virginia,VA,1,1,LA,FL,15000000,3780
2025-01,Vermont,VT,0,0,LA,,15000000,3780
2025-01,Washington,WA,0,0,LA,,15000000,3780
2025-01,Wisconsin,WI,0,0,LA,,15000000,3780
2025-01,West Virginia,WV,0,0,LA,,15000000,3780
2025-01,Wyoming,WY,0,0,LA,,15000000,3780
2025-02,Alabama,AL,0,0,LA,,15000000,3780
2025-02,Arkansas,AR,0,0,LA,,15000000,3780
2025-02,Arizona,AZ,1,0,LA,,15000000,3780
2025-02,California,CA,1,0,LA,,15000000,3780
2025-02,Colorado,CO,1,0,LA,,15000000,3780
2025-02,Connecticut,CT,0,0,LA,,15000000,3780
2025-02,Delaware,DE,0,0,LA,,15000000,3780
2025-02,Florida,FL,1,0,LA,,15000000,3780
2025-02,Georgia,GA,1,0,LA,,15000000,3780
2025-02,Iowa,IA,1,0,LA,,15000000,3780
2025-02,Idaho,ID,0,0,LA,,15000000,3780
2025-02,Illinois,IL,1,0,LA,,15000000,3780
2025-02,Indiana,IN,0,0,LA,,15000000,3780
2025-02,Kansas,KS,0,0,LA,,15000000,3780
2025-02,Kentucky,KY,0,0,LA,,15000000,3780
2025-02,Louisiana,LA,1,0,LA,,15000000,3780
2025-02,Massachusetts,MA,1,0,LA,,15000000,3780
2025-02,Maryland,MD,1,1,LA,FL,15000000,3780
2025-02,Maine,ME,0,0,LA,,15000000,3780
2025-02,Michigan,MI,1,0,LA,,15000000,3780
2025-02,Minnesota,MN,1,0,LA,,15000000,3780
2025-02,Missouri,MO,1,0,LA,,15000000,3780
2025-02,Mississippi,MS,0,0,LA,,15000000,3780
2025-02,Montana,MT,0,0,LA,,15000000,3780
2025-02,North Carolina,NC,1,0,LA,,15000000,3780
2025-02,North Dakota,ND,1,1,LA,AZ,15000000,3780
2025-02,Nebraska,NE,1,1,LA,IL,15000000,3780
2025-02,New Hampshire,NH,0,0,LA,,15000000,3780
2025-02,New Jersey,NJ,1,0,LA,,15000000,3780
2025-02,New Mexico,NM,1,1,LA,AZ,15000000,3780
2025-02,Nevada,NV,1,0,LA,,15000000,3780
2025-02,New York,NY,1,0,LA,,15000000,3780
2025-02,Ohio,OH,1,1,LA,FL,15000000,3780
2025-02,Oklahoma,OK,1,1,LA,TX,15000000,3780
2025-02,Oregon,OR,0,0,LA,,15000000,3780
2025-02,Pennsylvania,PA,1,1,LA,NY,15000000,3780
2025-02,Rhode Island,RI,0,0,LA,,15000000,3780
2025-02,South Carolina,SC,1,1,LA,GA,15000000,3780
2025-02,South Dakota,SD,0,0,LA,,15000000,3780
2025-02,Tennessee,TN,1,0,LA,,15000000,3780
2025-02,Texas,TX,1,0,LA,,15000000,3780
2025-02,Utah,UT,1,0,LA,,15000000,3780
2025-02,Virginia,VA,1,0,LA,,15000000,3780
2025-02,Vermont,VT,0,0,LA,,15000000,3780
2025-02,Washington,WA,1,1,LA,CA,15000000,3780
2025-02,Wisconsin,WI,1,1,LA,GA,15000000,3780
2025-02,West Virginia,WV,0,0,LA,,15000000,3780
2025-02,Wyoming,WY,0,0,LA,,15000000,3780
